transaction_id,transaction_date,value_date,debit,credit,amount,narration,reference,account_number
BANK-00001,2026-07-29,2026-07-29,38924.47,,38924.47,Apex Office Solns,INV-26-00001,XXXXXX1234
BANK-00002,2026-07-09,2026-07-09,63369.36,,63369.36,Bharat Cloud Services,INV-26-00002,XXXXXX1234
BANK-00003,2026-07-29,2026-07-29,24287.98,,24287.98,Cedar Industrial Supplies,INV-26-00003,XXXXXX1234
BANK-00004,2026-07-19,2026-07-19,70588.41,,70588.41,Delta Business Systems,INV-26-00004,XXXXXX1234
BANK-00005,2026-07-27,2026-07-27,59221.54,,59221.54,Evergreen Packaging,INV-26-00005,XXXXXX1234
BANK-00006,2026-07-20,2026-07-20,39081.93,,39081.93,Apex Office Solns,INV-26-00006,XXXXXX1234
BANK-00007,2026-07-20,2026-07-20,3368.70,,3368.70,Bharat Cloud Services,INV-26-00007,XXXXXX1234
BANK-00008,2026-07-04,2026-07-04,35160.75,,35160.75,Cedar Industrial Supplies,INV-26-00008,XXXXXX1234
BANK-00009,2026-07-19,2026-07-19,75916.45,,75916.45,Delta Business Systems,INV-26-00009,XXXXXX1234
BANK-00010,2026-07-05,2026-07-05,88773.91,,88773.91,Evergreen Packaging,INV-26-00010,XXXXXX1234
BANK-00011,2026-07-01,2026-07-01,89276.01,,89276.01,Apex Office Solutions,INV-26-00011,XXXXXX1234
BANK-00012,2026-07-30,2026-07-30,65322.39,,65322.39,Bharat Cloud Services,INV-26-00012,XXXXXX1234
BANK-00013,2026-07-29,2026-07-29,69729.30,,69729.30,Cedar Industrial Supplies,INV-26-00013,XXXXXX1234
BANK-00014,2026-07-21,2026-07-21,66055.15,,66055.15,Delta Business Systems,INV-26-00014,XXXXXX1234
BANK-00015,2026-07-19,2026-07-19,12796.34,,12796.34,Evergreen Packaging,INV-26-00015,XXXXXX1234
BANK-00016,2026-07-19,2026-07-19,58071.83,59321.83,59321.83,Apex Office Solutions,INV-26-00016,XXXXXX1234
BANK-00017,2026-07-24,2026-07-24,28166.75,29416.75,29416.75,Bharat Cloud Services,INV-26-00017,XXXXXX1234
BANK-00018,2026-07-10,2026-07-10,94693.77,95943.77,95943.77,Cedar Industrial Supplies,INV-26-00018,XXXXXX1234
BANK-00019,2026-07-06,2026-07-06,81275.68,82525.68,82525.68,Delta Business Systems,INV-26-00019,XXXXXX1234
BANK-00020,2026-07-01,2026-07-01,62602.52,63852.52,63852.52,Evergreen Packaging,INV-26-00020,XXXXXX1234
BANK-00021,2026-07-06,2026-07-06,68542.24,,68542.24,Apex Office Solutions,INV-26-00021,XXXXXX1234
BANK-00022,2026-07-08,2026-07-08,81132.58,,81132.58,Bharat Cloud Services,INV-26-00022,XXXXXX1234
BANK-00023,2026-07-15,2026-07-15,45325.76,,45325.76,Cedar Industrial Supplies,INV-26-00023,XXXXXX1234
BANK-00024,2026-07-04,2026-07-04,66442.68,,66442.68,Delta Business Systems,INV-26-00024,XXXXXX1234
BANK-00025,2026-07-31,2026-07-31,72593.07,,72593.07,Evergreen Packaging,INV-26-00025,XXXXXX1234
BANK-00026,2026-07-09,2026-07-09,9627.17,,9627.17,Apex Office Solutions,INV-26-00026,XXXXXX1234
BANK-00027,2026-07-02,2026-07-02,19177.03,,19177.03,Bharat Cloud Services,INV-26-00027,XXXXXX1234
BANK-00028,2026-07-10,2026-07-10,93466.87,,93466.87,Cedar Industrial Supplies,INV-26-00028,XXXXXX1234
BANK-00029,2026-07-23,2026-07-23,56644.42,,56644.42,Delta Business Systems,INV-26-00029,XXXXXX1234
BANK-00030,2026-07-23,2026-07-23,78506.01,,78506.01,Evergreen Packaging,INV-26-00030,XXXXXX1234
BANK-00031,2026-07-05,2026-07-05,65278.62,,65278.62,Apex Office Solutions,INV-26-00031,XXXXXX1234
BANK-00032,2026-07-03,2026-07-03,48879.52,,48879.52,Bharat Cloud Services,INV-26-00032,XXXXXX1234
BANK-00033,2026-07-15,2026-07-15,53370.10,,53370.10,Cedar Industrial Supplies,INV-26-00033,XXXXXX1234
BANK-00034,2026-07-13,2026-07-13,18502.37,,18502.37,Delta Business Systems,INV-26-00034,XXXXXX1234
BANK-00035,2026-07-21,2026-07-21,43695.07,,43695.07,Evergreen Packaging,INV-26-00035,XXXXXX1234
BANK-00036,2026-07-22,2026-07-22,64370.26,,64370.26,Apex Office Solutions,INV-26-00036,XXXXXX1234
BANK-00037,2026-07-30,2026-07-30,70050.35,,70050.35,Bharat Cloud Services,INV-26-00037,XXXXXX1234
BANK-00038,2026-07-12,2026-07-12,41058.16,,41058.16,Cedar Industrial Supplies,INV-26-00038,XXXXXX1234
BANK-00039,2026-07-03,2026-07-03,8749.99,,8749.99,Delta Business Systems,INV-26-00039,XXXXXX1234
BANK-00040,2026-07-25,2026-07-25,25341.22,,25341.22,Evergreen Packaging,INV-26-00040,XXXXXX1234
BANK-00041,2026-07-15,2026-07-15,29176.38,,29176.38,Apex Office Solutions,INV-26-00041,XXXXXX1234
BANK-00042,2026-07-03,2026-07-03,27199.55,,27199.55,Bharat Cloud Services,INV-26-00042,XXXXXX1234
BANK-00043,2026-07-26,2026-07-26,23116.61,,23116.61,Cedar Industrial Supplies,INV-26-00043,XXXXXX1234
BANK-00044,2026-07-10,2026-07-10,69056.12,,69056.12,Delta Business Systems,INV-26-00044,XXXXXX1234
BANK-00045,2026-07-06,2026-07-06,68001.84,,68001.84,Evergreen Packaging,INV-26-00045,XXXXXX1234
BANK-00046,2026-07-13,2026-07-13,63934.60,,63934.60,Apex Office Solutions,INV-26-00046,XXXXXX1234
BANK-00047,2026-07-31,2026-07-31,48405.17,,48405.17,Bharat Cloud Services,INV-26-00047,XXXXXX1234
BANK-00048,2026-07-11,2026-07-11,76561.25,,76561.25,Cedar Industrial Supplies,INV-26-00048,XXXXXX1234
BANK-00049,2026-07-31,2026-07-31,67241.17,,67241.17,Delta Business Systems,INV-26-00049,XXXXXX1234
BANK-00050,2026-07-23,2026-07-23,68572.64,,68572.64,Evergreen Packaging,INV-26-00050,XXXXXX1234
BANK-00051,2026-07-28,2026-07-28,6397.20,,6397.20,Apex Office Solutions,INV-26-00051,XXXXXX1234
BANK-00052,2026-07-26,2026-07-26,41378.38,,41378.38,Bharat Cloud Services,INV-26-00052,XXXXXX1234
BANK-00053,2026-07-04,2026-07-04,9464.83,,9464.83,Cedar Industrial Supplies,INV-26-00053,XXXXXX1234
BANK-00054,2026-07-06,2026-07-06,7365.62,,7365.62,Delta Business Systems,INV-26-00054,XXXXXX1234
BANK-00055,2026-07-06,2026-07-06,10926.64,,10926.64,Evergreen Packaging,INV-26-00055,XXXXXX1234
BANK-00056,2026-07-26,2026-07-26,91019.49,,91019.49,Apex Office Solutions,INV-26-00056,XXXXXX1234
BANK-00057,2026-07-06,2026-07-06,37391.36,,37391.36,Bharat Cloud Services,INV-26-00057,XXXXXX1234
BANK-00058,2026-07-26,2026-07-26,49421.26,,49421.26,Cedar Industrial Supplies,INV-26-00058,XXXXXX1234
BANK-00059,2026-07-06,2026-07-06,17207.93,,17207.93,Delta Business Systems,INV-26-00059,XXXXXX1234
BANK-00060,2026-07-09,2026-07-09,67173.37,,67173.37,Evergreen Packaging,INV-26-00060,XXXXXX1234
BANK-00061,2026-07-20,2026-07-20,23776.35,,23776.35,Apex Office Solutions,INV-26-00061,XXXXXX1234
